City,State,Lat,Long,commas,CityState,Opened,Mopened
Phoenix,Arizona,33.448377,-112.074037,",","Phoenix,Arizona",5/27/05,5/05
McKinleyville,California,40.946515,-124.100621,",","McKinleyville,California",5/28/05,5/05
Ukiah,California,39.150171,-123.207783,",","Ukiah,California",6/1/05,6/05
Van Nuys,California,34.052234,-118.243685,",","Van Nuys,California",6/1/05,6/05
Baldwin Park,California,34.085287,-117.960898,",","Baldwin Park,California",6/1/05,6/05
El Cajon,California,32.794773,-116.962527,",","El Cajon,California",6/1/05,6/05
Henderson,Nevada,36.0301134,-114.9826194,",","Henderson,Nevada",6/1/05,6/05
Chandler,Arizona,33.30616,-111.84125,",","Chandler,Arizona",6/1/05,6/05
Richardson,Texas,32.9481789,-96.7297206,",","Richardson,Texas",6/1/05,6/05
Joplin,Missouri,37.08418,-94.51323,",","Joplin,Missouri",6/1/05,6/05
Effingham,Illinois,39.0520902,-88.6029006,",","Effingham,Illinois",6/1/05,6/05
Fargo,North Dakota,46.877229,-96.789821,",","Fargo,North Dakota",7/1/05,7/05
Springfield,Illinois,39.7990175,-89.6439575,",","Springfield,Illinois",7/1/05,7/05
Wildwood,Missouri,38.5806948,-90.6314374,",","Wildwood,Missouri",7/8/05,7/05
Harlingen,Texas,26.1908241,-97.6959794,",","Harlingen,Texas",7/15/05,7/05
Arlington,Texas,32.701939,-97.1056248,",","Arlington,Texas",7/15/05,7/05
Arlington,Texas,32.701939,-97.1056248,",","Arlington,Texas",7/22/05,7/05
Clinton,Mississippi,32.3415342,-90.3217585,",","Clinton,Mississippi",7/30/05,7/05
Kerrville,Texas,30.0474688,-99.1400207,",","Kerrville,Texas",8/1/05,8/05
Cincinnati,Ohio,39.1014537,-84.5124602,",","Cincinnati,Ohio",8/1/05,8/05
Kailua-Kona,Hawaii,19.641941,-155.996933,",","Kailua-Kona,Hawaii",8/2/05,8/05
Ankeny,Iowa,41.7318715,-93.6003837,",","Ankeny,Iowa",8/5/05,8/05
Coeur D Alene,Idaho,47.7066144,-116.8551,",","Coeur D Alene,Idaho",8/12/05,8/05
Omaha,Nebraska,41.2587459,-95.9383758,",","Omaha,Nebraska",8/26/05,8/05
Houston,Texas,31.3378465,-95.390805,",","Houston,Texas",8/26/05,8/05
Waipahu,Hawaii,21.3866667,-158.0091667,",","Waipahu,Hawaii",9/1/05,9/05
