ID,Lat,Long,Mopened,Opened,City,State,Commas,CityState,,
38231Tempe,33.42551,-111.940005,9/04,9/1/04,Tempe,Arizona,",","Tempe,Arizona",,
38231McAllen,26.2043691,-98.230082,9/04,9/1/04,McAllen,Texas,",","McAllen,Texas",,
38231Chantilly,38.8941543,-77.4311513,9/04,9/1/04,Chantilly,Virginia,",","Chantilly,Virginia",,
38233New York,40.7127281,-74.0060152,9/04,9/3/04,New York,New York,",","New York,New York",,
38240St. George,37.104153,-113.5841313,9/04,9/10/04,St. George,Utah,",","St. George,Utah",,
38247Santa Rosa,38.440429,-122.714055,9/04,9/17/04,Santa Rosa,California,",","Santa Rosa,California",,
38247Concord,37.977978,-122.031073,9/04,9/17/04,Concord,California,",","Concord,California",,
38251Mililani Town,21.4523757,-158.0063148,9/04,9/21/04,Mililani Town,Hawaii,",","Mililani Town,Hawaii",,
38255Susanville,40.416284,-120.653006,9/04,9/25/04,Susanville,California,",","Susanville,California",,
38261Eureka,40.802071,-124.163673,10/04,10/1/04,Eureka,California,",","Eureka,California",,
38261Meridian,43.6086295,-116.392326,10/04,10/1/04,Meridian,Idaho,",","Meridian,Idaho",,
38261Meridian,43.6086295,-116.392326,10/04,10/1/04,Meridian,Idaho,",","Meridian,Idaho",,
38261Lafayette,30.2240897,-92.0198427,10/04,10/1/04,Lafayette,Louisiana,",","Lafayette,Louisiana",,
38269Honolulu,21.304547,-157.8556764,10/04,10/9/04,Honolulu,Hawaii,",","Honolulu,Hawaii",,
38271Fort Bragg,39.445723,-123.805294,10/04,10/11/04,Fort Bragg,California,",","Fort Bragg,California",,
38328Kaneohe,21.4055,-157.7960716,12/04,12/7/04,Kaneohe,Hawaii,",","Kaneohe,Hawaii",,
38330Spokane,47.6571104,-117.2613936,12/04,12/9/04,Spokane,Washington,",","Spokane,Washington",,
38331Los Angeles,34.052234,-118.243685,12/04,12/10/04,Los Angeles,California,",","Los Angeles,California",,
38353Mercer Island,47.5602073,-122.2201423,1/05,1/1/05,Mercer Island,Washington,",","Mercer Island,Washington",,
38353San Diego,32.715738,-117.161084,1/05,1/1/05,San Diego,California,",","San Diego,California",,
38353Phoenix,33.448377,-112.074037,1/05,1/1/05,Phoenix,Arizona,",","Phoenix,Arizona",,
38384Phoenix,33.448377,-112.074037,2/05,2/1/05,Phoenix,Arizona,",","Phoenix,Arizona",,
38412Fairfield,38.249196,-122.040515,3/05,3/1/05,Fairfield,California,",","Fairfield,California",,
38412Boise,43.6166163,-116.200886,3/05,3/1/05,Boise,Idaho,",","Boise,Idaho",,
38412Phoenix,33.448377,-112.074037,3/05,3/1/05,Phoenix,Arizona,",","Phoenix,Arizona",,
38412Higley,33.306936,-111.721109,3/05,3/1/05,Higley,Arizona,",","Higley,Arizona",,
38430Las Vegas,36.1672559,-115.1485163,3/05,3/19/05,Las Vegas,Nevada,",","Las Vegas,Nevada",,
38430Jacksonville,30.3321838,-81.655651,3/05,3/19/05,Jacksonville,Florida,",","Jacksonville,Florida",,
38443Renton,47.4799078,-122.2034496,4/05,4/1/05,Renton,Washington,",","Renton,Washington",,
38456Honolulu,21.304547,-157.8556764,4/05,4/14/05,Honolulu,Hawaii,",","Honolulu,Hawaii",,
38457Houston,31.3378465,-95.390805,4/05,4/15/05,Houston,Texas,",","Houston,Texas",,
38473Oceanside,33.19587,-117.379483,5/05,5/1/05,Oceanside,California,",","Oceanside,California",,
38473Greendale,42.9405711,-87.9959191,5/05,5/1/05,Greendale,Wisconsin,",","Greendale,Wisconsin",,
38473Macon,32.8406946,-83.6324022,5/05,5/1/05,Macon,Georgia,",","Macon,Georgia",,
38498Calexico,32.678948,-115.498883,5/05,5/26/05,Calexico,California,",","Calexico,California",,
38499Phoenix,33.448377,-112.074037,5/05,5/27/05,Phoenix,Arizona,",","Phoenix,Arizona",,
38500McKinleyville,40.946515,-124.100621,5/05,5/28/05,McKinleyville,California,",","McKinleyville,California",,
38504Ukiah,39.150171,-123.207783,6/05,6/1/05,Ukiah,California,",","Ukiah,California",,
38504Van Nuys,34.052234,-118.243685,6/05,6/1/05,Van Nuys,California,",","Van Nuys,California",,
38504Baldwin Park,34.085287,-117.960898,6/05,6/1/05,Baldwin Park,California,",","Baldwin Park,California",,
38504El Cajon,32.794773,-116.962527,6/05,6/1/05,El Cajon,California,",","El Cajon,California",,
38504Henderson,36.0301134,-114.9826194,6/05,6/1/05,Henderson,Nevada,",","Henderson,Nevada",,
38504Chandler,33.30616,-111.84125,6/05,6/1/05,Chandler,Arizona,",","Chandler,Arizona",,
38504Richardson,32.9481789,-96.7297206,6/05,6/1/05,Richardson,Texas,",","Richardson,Texas",,
38504Joplin,37.08418,-94.51323,6/05,6/1/05,Joplin,Missouri,",","Joplin,Missouri",,
38504Effingham,39.0520902,-88.6029006,6/05,6/1/05,Effingham,Illinois,",","Effingham,Illinois",,
38534Fargo,46.877229,-96.789821,7/05,7/1/05,Fargo,North Dakota,",","Fargo,North Dakota",,
38534Springfield,39.7990175,-89.6439575,7/05,7/1/05,Springfield,Illinois,",","Springfield,Illinois",,
38541Wildwood,38.5806948,-90.6314374,7/05,7/8/05,Wildwood,Missouri,",","Wildwood,Missouri",,
38548Harlingen,26.1908241,-97.6959794,7/05,7/15/05,Harlingen,Texas,",","Harlingen,Texas",,
38548Arlington,32.701939,-97.1056248,7/05,7/15/05,Arlington,Texas,",","Arlington,Texas",,
38555Arlington,32.701939,-97.1056248,7/05,7/22/05,Arlington,Texas,",","Arlington,Texas",,
38563Clinton,32.3415342,-90.3217585,7/05,7/30/05,Clinton,Mississippi,",","Clinton,Mississippi",,
38565Kerrville,30.0474688,-99.1400207,8/05,8/1/05,Kerrville,Texas,",","Kerrville,Texas",,
38565Cincinnati,39.1014537,-84.5124602,8/05,8/1/05,Cincinnati,Ohio,",","Cincinnati,Ohio",,
38566Kailua-Kona,19.641941,-155.996933,8/05,8/2/05,Kailua-Kona,Hawaii,",","Kailua-Kona,Hawaii",,
38569Ankeny,41.7318715,-93.6003837,8/05,8/5/05,Ankeny,Iowa,",","Ankeny,Iowa",,
38576Coeur D Alene,47.7066144,-116.8551,8/05,8/12/05,Coeur D Alene,Idaho,",","Coeur D Alene,Idaho",,
38590Omaha,41.2587459,-95.9383758,8/05,8/26/05,Omaha,Nebraska,",","Omaha,Nebraska",,
38590Houston,31.3378465,-95.390805,8/05,8/26/05,Houston,Texas,",","Houston,Texas",,
38596Waipahu,21.3866667,-158.0091667,9/05,9/1/05,Waipahu,Hawaii,",","Waipahu,Hawaii",,
38596Anchorage,61.218056,-149.900278,9/05,9/1/05,Anchorage,Alaska,",","Anchorage,Alaska",,
38596South San Francisco,37.654656,-122.40775,9/05,9/1/05,South San Francisco,California,",","South San Francisco,California",,
38596Henderson,36.0301134,-114.9826194,9/05,9/1/05,Henderson,Nevada,",","Henderson,Nevada",,
38596Missoula,46.8701049,-113.9952672,9/05,9/1/05,Missoula,Montana,",","Missoula,Montana",,
38596Sun City,33.597539,-112.271824,9/05,9/1/05,Sun City,Arizona,",","Sun City,Arizona",,
38596Phoenix,33.448377,-112.074037,9/05,9/1/05,Phoenix,Arizona,",","Phoenix,Arizona",,
38596Des Peres,38.6049811,-90.4426837,9/05,9/1/05,Des Peres,Missouri,",","Des Peres,Missouri",,
38596Forest Park,41.8794758,-87.81367,9/05,9/1/05,Forest Park,Illinois,",","Forest Park,Illinois",,
38596Charlotte,35.2271986,-80.843083,9/05,9/1/05,Charlotte,North Carolina,",","Charlotte,North Carolina",,
38596Vineland,39.473152,-75.0020265,9/05,9/1/05,Vineland,New Jersey,",","Vineland,New Jersey",,
38597Tempe,33.42551,-111.940005,9/05,9/2/05,Tempe,Arizona,",","Tempe,Arizona",,
38598Des Moines,41.5910641,-93.6037149,9/05,9/3/05,Des Moines,Iowa,",","Des Moines,Iowa",,
38599Chesterfield Township,42.6628105,-82.8424208,9/05,9/4/05,Chesterfield Township,Michigan,",","Chesterfield Township,Michigan",,
38604Elk Grove,38.408799,-121.371618,9/05,9/9/05,Elk Grove,California,",","Elk Grove,California",,
38611Chino,39.728494,-121.837478,9/05,9/16/05,Chino,California,",","Chino,California",,
38611Murrieta,33.553914,-117.213923,9/05,9/16/05,Murrieta,California,",","Murrieta,California",,
38611Houston,31.3378465,-95.390805,9/05,9/16/05,Houston,Texas,",","Houston,Texas",,
38611Auburn,44.0978509,-70.2311655,9/05,9/16/05,Auburn,Maine,",","Auburn,Maine",,
38612Petaluma,38.232417,-122.636652,9/05,9/17/05,Petaluma,California,",","Petaluma,California",,
38625Boise,43.6166163,-116.200886,9/05,9/30/05,Boise,Idaho,",","Boise,Idaho",,
38625Camp Verde,34.563636,-111.854318,9/05,9/30/05,Camp Verde,Arizona,",","Camp Verde,Arizona",,
38625Pittsburg,37.4108841,-94.70496,9/05,9/30/05,Pittsburg,Kansas,",","Pittsburg,Kansas",,
38625Marion,39.7810289,-86.1365457,9/05,9/30/05,Marion,Indiana,",","Marion,Indiana",,
38626Salem,44.9391565,-123.033121,10/05,10/1/05,Salem,Oregon,",","Salem,Oregon",,
38626Kent,47.3826903,-122.2270272,10/05,10/1/05,Kent,Washington,",","Kent,Washington",,
38626Pittsburg,38.027976,-121.884681,10/05,10/1/05,Pittsburg,California,",","Pittsburg,California",,
38626Humble,29.9988312,-95.2621553,10/05,10/1/05,Humble,Texas,",","Humble,Texas",,
38626Carmel,39.9788017,-86.1189257,10/05,10/1/05,Carmel,Indiana,",","Carmel,Indiana",,
38626Hixson,35.236207,-85.298206,10/05,10/1/05,Hixson,Tennessee,",","Hixson,Tennessee",,
38628Grand Forks,47.9078244,-97.0592028,10/05,10/3/05,Grand Forks,North Dakota,",","Grand Forks,North Dakota",,
38628Grand Rapids,42.9632405,-85.6678639,10/05,10/3/05,Grand Rapids,Michigan,",","Grand Rapids,Michigan",,
38639Cheney,47.4873895,-117.5757676,10/05,10/14/05,Cheney,Washington,",","Cheney,Washington",,
38657Aurora,39.729432,-104.8319196,11/05,11/1/05,Aurora,Colorado,",","Aurora,Colorado",,
38657Sioux Falls,43.5499749,-96.700327,11/05,11/1/05,Sioux Falls,South Dakota,",","Sioux Falls,South Dakota",,
38657Oak Creek,42.8858503,-87.8631362,11/05,11/1/05,Oak Creek,Wisconsin,",","Oak Creek,Wisconsin",,
38657Niles,41.1828353,-80.765358,11/05,11/1/05,Niles,Ohio,",","Niles,Ohio",,
38657Roanoke,37.2738215,-79.9602021,11/05,11/1/05,Roanoke,Virginia,",","Roanoke,Virginia",,
38657Alexandria,38.8051095,-77.0470229,11/05,11/1/05,Alexandria,Virginia,",","Alexandria,Virginia",,
38659Aiea,21.3822222,-157.9336111,11/05,11/3/05,Aiea,Hawaii,",","Aiea,Hawaii",,
38660Palo Alto,37.441883,-122.143019,11/05,11/4/05,Palo Alto,California,",","Palo Alto,California",,
38660Cleveland,41.5051613,-81.6934446,11/05,11/4/05,Cleveland,Ohio,",","Cleveland,Ohio",,
38663Waterville,44.5520105,-69.6317121,11/05,11/7/05,Waterville,Maine,",","Waterville,Maine",,
38667Palmdale,34.579434,-118.116461,11/05,11/11/05,Palmdale,California,",","Palmdale,California",,
38671Burbank,34.180839,-118.308966,11/05,11/15/05,Burbank,California,",","Burbank,California",,
38674Tukwila,47.4627356,-122.2559156,11/05,11/18/05,Tukwila,Washington,",","Tukwila,Washington",,
38674Staten Island,40.5834557,-74.1496048,11/05,11/18/05,Staten Island,New York,",","Staten Island,New York",,
38674Essex,44.7065484,-71.7344471,11/05,11/18/05,Essex,Vermont,",","Essex,Vermont",,
38674Nashua,42.7653662,-71.467566,11/05,11/18/05,Nashua,New Hampshire,",","Nashua,New Hampshire",,
38674Nashua,42.7653662,-71.467566,11/05,11/18/05,Nashua,New Hampshire,",","Nashua,New Hampshire",,
38677Honolulu,21.304547,-157.8556764,11/05,11/21/05,Honolulu,Hawaii,",","Honolulu,Hawaii",,
38678Baltimore,39.2908816,-76.610759,11/05,11/22/05,Baltimore,Maryland,",","Baltimore,Maryland",,
38679Lathrop,37.822705,-121.27661,11/05,11/23/05,Lathrop,California,",","Lathrop,California",,
38679Indianapolis,39.7683331,-86.1583502,11/05,11/23/05,Indianapolis,Indiana,",","Indianapolis,Indiana",,
38679Shorthills,40.7192,-74.318609,11/05,11/23/05,Shorthills,New Jersey,",","Shorthills,New Jersey",,
38681Saratoga,37.263832,-122.023015,11/05,11/25/05,Saratoga,California,",","Saratoga,California",,
38681Osage Beach,38.1259916,-92.6723254,11/05,11/25/05,Osage Beach,Missouri,",","Osage Beach,Missouri",,
38687Vancouver,45.6306954,-122.6744557,12/05,12/1/05,Vancouver,Washington,",","Vancouver,Washington",,
38687Big Bear Lake,34.243896,-116.911422,12/05,12/1/05,Big Bear Lake,California,",","Big Bear Lake,California",,
38687Mansfield,32.5631924,-97.1416768,12/05,12/1/05,Mansfield,Texas,",","Mansfield,Texas",,
38687Burleson,30.4764878,-96.6353488,12/05,12/1/05,Burleson,Texas,",","Burleson,Texas",,
38687Lexington,38.0464066,-84.4970393,12/05,12/1/05,Lexington,Kentucky,",","Lexington,Kentucky",,
38687Rockaway,40.9012101,-74.5143232,12/05,12/1/05,Rockaway,New Jersey,",","Rockaway,New Jersey",,
38688Kent,47.3826903,-122.2270272,12/05,12/2/05,Kent,Washington,",","Kent,Washington",,
38688Midland,31.9973662,-102.0779482,12/05,12/2/05,Midland,Texas,",","Midland,Texas",,
38690North Highlands,38.685736,-121.372174,12/05,12/4/05,North Highlands,California,",","North Highlands,California",,
38695Anaheim Hills,33.850802,-117.749066,12/05,12/9/05,Anaheim Hills,California,",","Anaheim Hills,California",,
